method,variant,noise_family,rate,energy,seed
HEA adversarial,untwirled,depolarizing,0.02,0.3233551682150618,4
HEA adversarial,untwirled,depolarizing,0.05,1.4075095924299597,4
HEA adversarial,untwirled,depolarizing,0.1,0.32821928039759757,4
HEA adversarial,untwirled,amplitude_damping,0.0,-0.527608126011637,4
HEA adversarial,untwirled,amplitude_damping,0.01,-0.5272000116789328,4
HEA adversarial,untwirled,amplitude_damping,0.02,-0.11028175288998453,4
HEA adversarial,untwirled,amplitude_damping,0.05,0.16142094883223757,4
HEA adversarial,untwirled,amplitude_damping,0.1,0.32069049292992097,4
HEA adversarial,untwirled,coherent_overrotation,0.0,-0.527608126011637,4
HEA adversarial,untwirled,coherent_overrotation,0.01,-0.5123851504091255,4
HEA adversarial,untwirled,coherent_overrotation,0.02,-0.46780404535758063,4
HEA adversarial,untwirled,coherent_overrotation,0.05,-0.2026197248013402,4
HEA adversarial,untwirled,coherent_overrotation,0.1,0.2716613498704074,4
HEA adversarial,untwirled,readout,0.0,-0.527608126011637,4
HEA adversarial,untwirled,readout,0.01,-0.527608126011637,4
HEA adversarial,untwirled,readout,0.02,0.14065396120376633,4
HEA adversarial,untwirled,readout,0.05,0.16859243751314598,4
HEA adversarial,untwirled,readout,0.1,0.43109671294776564,4
HEA adversarial,mitigated,depolarizing,0.0,1.0996259530568815,4
HEA adversarial,mitigated,depolarizing,0.01,0.9377576910950679,4
HEA adversarial,mitigated,depolarizing,0.02,1.2246617759179863,4
HEA adversarial,mitigated,depolarizing,0.05,0.15601252146555197,4
HEA adversarial,mitigated,depolarizing,0.1,1.4164137653851916,4
HEA adversarial,mitigated,amplitude_damping,0.0,-0.14811315542655387,4
HEA adversarial,mitigated,amplitude_damping,0.01,0.1877512921122095,4
HEA adversarial,mitigated,amplitude_damping,0.02,0.9299058234633378,4
HEA adversarial,mitigated,amplitude_damping,0.05,0.2393669815055019,4
HEA adversarial,mitigated,amplitude_damping,0.1,0.8207162980652608,4
HEA adversarial,mitigated,coherent_overrotation,0.0,-0.28169102049283784,4
HEA adversarial,mitigated,coherent_overrotation,0.01,0.42171498061759827,4
HEA adversarial,mitigated,coherent_overrotation,0.02,0.7876398232361957,4
HEA adversarial,mitigated,coherent_overrotation,0.05,0.42242749893229664,4
HEA adversarial,mitigated,coherent_overrotation,0.1,0.4559771302294788,4
HEA adversarial,mitigated,readout,0.0,1.5052620726650026,4
HEA adversarial,mitigated,readout,0.01,0.3418039303766152,4
HEA adversarial,mitigated,readout,0.02,0.6063870775519556,4
HEA adversarial,mitigated,readout,0.05,1.2831329211834896,4
HEA adversarial,mitigated,readout,0.1,0.6160976519978882,4
Architect adversarial,untwirled,depolarizing,0.0,-0.5245958290032077,0
Architect adversarial,untwirled,depolarizing,0.01,-0.5245958290032077,0
Architect adversarial,untwirled,depolarizing,0.02,-0.5245958290032077,0
Architect adversarial,untwirled,depolarizing,0.05,-0.5245958290032077,0
Architect adversarial,untwirled,depolarizing,0.1,-0.5245958290032077,0
Architect adversarial,untwirled,amplitude_damping,0.0,-0.5245958290032077,0
Architect adversarial,untwirled,amplitude_damping,0.01,-0.5245958290032074,0
Architect adversarial,untwirled,amplitude_damping,0.02,-0.5245958290032073,0
Architect adversarial,untwirled,amplitude_damping,0.05,0.6041093690737608,0
Architect adversarial,untwirled,amplitude_damping,0.1,0.6041093690737609,0
Architect adversarial,untwirled,coherent_overrotation,0.0,-0.5245958290032077,0
Architect adversarial,untwirled,coherent_overrotation,0.01,-0.5245958290032077,0
Architect adversarial,untwirled,coherent_overrotation,0.02,-0.5245958290032077,0
Architect adversarial,untwirled,coherent_overrotation,0.05,-0.5245958290032076,0
Architect adversarial,untwirled,coherent_overrotation,0.1,-0.5245958290032077,0
Architect adversarial,untwirled,readout,0.0,-0.5245958290032076,0
Architect adversarial,untwirled,readout,0.01,-0.5245958290032077,0
Architect adversarial,untwirled,readout,0.02,-0.5245958290032077,0
Architect adversarial,untwirled,readout,0.05,-0.5245958290032077,0
Architect adversarial,untwirled,readout,0.1,-0.23271598892282302,0
Architect adversarial,mitigated,depolarizing,0.0,0.12689918686170593,0
Architect adversarial,mitigated,depolarizing,0.01,0.0311394962041311,0
Architect adversarial,mitigated,depolarizing,0.02,0.6640986816567038,0
Architect adversarial,mitigated,depolarizing,0.05,-0.08483230203684149,0
Architect adversarial,mitigated,depolarizing,0.1,-0.3002550649651603,0
Architect adversarial,mitigated,amplitude_damping,0.0,0.1781358306020707,0
Architect adversarial,mitigated,amplitude_damping,0.01,0.10503731466964342,0
Architect adversarial,mitigated,amplitude_damping,0.02,-0.3376915497703316,0
Architect adversarial,mitigated,amplitude_damping,0.05,-0.2722085699013186,0
Architect adversarial,mitigated,amplitude_damping,0.1,0.4251044782579508,0
Architect adversarial,mitigated,coherent_overrotation,0.0,-0.18975465665932045,0
